회사명,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
넷스루,73.6842105263158,52.63157894736842,91.57894736842105,77.89473684210526,72.63157894736842
노타,86.0,92.0,86.0,100.0,96.0
데이터메이커,72.85714285714286,78.57142857142857,75.71428571428571,68.57142857142857,71.42857142857143
디딤365,63.85964912280702,52.98245614035088,58.94736842105263,59.29824561403509,55.43859649122807
딥엑스,100.0,100.0,90.0,90.0,90.0
마키나락스,56.8421052631579,61.05263157894737,78.94736842105263,73.6842105263158,58.94736842105263
모본,45.625,57.5,48.75,38.75,31.25
몰로코,90.0,90.0,73.33333333333333,93.33333333333333,90.0
미리디,63.90243902439025,55.1219512195122,81.46341463414635,76.09756097560975,56.58536585365854
버즈빌,77.2,74.0,79.6,87.6,79.6
번개장터,64.8,58.8,78.8,73.2,59.6
브레이브모바일,64.8780487804878,65.36585365853658,76.58536585365853,72.6829268292683,54.63414634146341
비모소프트,41.42857142857143,67.14285714285714,70.0,60.0,42.857142857142854
비트나인,57.27272727272727,63.18181818181818,68.63636363636364,54.09090909090909,45.45454545454545
샌즈랩,45.833333333333336,45.0,36.666666666666664,47.5,37.5
세이지리서치,90.0,90.0,95.71428571428571,97.14285714285714,92.85714285714286
스포카,68.33333333333333,52.5,78.33333333333333,85.0,67.5
스푼라디오,63.40425531914894,65.1063829787234,73.19148936170212,63.829787234042556,53.61702127659574
아이나비시스템즈,55.63636363636363,41.09090909090909,68.36363636363636,59.63636363636363,49.09090909090909
아임웹,56.111111111111114,65.0,80.0,58.888888888888886,52.77777777777778
알체라,56.721311475409834,53.114754098360656,61.63934426229508,58.68852459016394,54.09836065573771
앤씨앤,52.63157894736842,65.26315789473684,54.73684210526316,49.473684210526315,51.578947368421055
어니스트펀드,51.111111111111114,53.333333333333336,77.77777777777777,71.11111111111111,53.333333333333336
에스피에이치,71.11111111111111,87.77777777777777,93.33333333333333,80.0,67.77777777777777
에어스메디컬,64.44444444444444,46.666666666666664,88.88888888888889,80.0,44.44444444444444
에이모,59.21568627450981,61.96078431372549,74.90196078431373,61.96078431372549,58.431372549019606
에이비일팔공,85.0,76.66666666666667,78.33333333333333,88.33333333333333,85.0
에이아이트릭스,74.28571428571429,87.14285714285714,90.0,74.28571428571429,62.857142857142854
엘리스,60.0,40.0,56.36363636363637,70.9090909090909,47.27272727272727
엠투커뮤니티,64.0,58.0,38.0,58.0,38.0
와디즈,57.6,47.2,58.4,56.0,40.8
웅진,61.95402298850575,51.03448275862069,61.724137931034484,66.66666666666667,48.735632183908045
이랜드이노플,55.15151515151515,63.03030303030303,87.87878787878788,80.0,58.78787878787879
잡플래닛,58.75,56.25,80.0,68.75,58.75
제이시스,70.0,80.0,80.0,80.0,90.0
카비,68.0,48.0,56.0,44.0,44.0
캐롯손해보험,64.0,64.0,81.0,64.0,52.0
케이티넥스알,62.80701754385965,59.29824561403509,72.63157894736842,70.87719298245614,51.228070175438596
콘센트릭스서비스코리아,59.23076923076923,49.23076923076923,67.6923076923077,52.30769230769231,42.30769230769231
쿠팡,64.76190476190476,71.42857142857143,68.57142857142857,67.61904761904762,65.71428571428571
클레온,75.0,50.0,40.0,60.0,45.0
키다리스튜디오,64.0,65.33333333333333,80.0,64.0,60.0
티오더,60.0,60.0,63.333333333333336,60.0,60.0
플래티어,60.22727272727273,64.31818181818181,69.0909090909091,63.86363636363637,53.63636363636363
플리토,65.33333333333333,53.77777777777778,78.22222222222223,61.333333333333336,54.22222222222222
피클플러스,100.0,80.0,60.0,100.0,80.0
핀다,65.21739130434783,66.08695652173913,72.17391304347827,66.95652173913044,64.34782608695652
하이브,58.0,74.0,57.0,67.0,56.0
한류뱅크,51.111111111111114,40.0,60.0,46.666666666666664,28.88888888888889
해줌,62.5,65.0,85.0,70.0,60.0
휴맥스모빌리티,46.0,46.0,64.0,42.0,28.0
